flight_number,date_utc,year,rocket,payload_mass_kg,orbit,launch_site,reused,flights,gridfins,legs,landing_success,success,upcoming
37,2014-05-28T00:00:00.000Z,2014,Falcon 9,4216.138229013573,GTO,KSC LC 39A,False,1,False,False,,True,False
38,2014-06-14T00:00:00.000Z,2014,Falcon 9,1315.968754314294,SSO,CCSFS SLC 40,False,1,False,False,,True,False
39,2014-06-26T00:00:00.000Z,2014,Falcon 9,6320.850771741912,LEO,KSC LC 39A,False,1,False,False,,True,False
40,2014-08-09T00:00:00.000Z,2014,Falcon 9,3713.585001669415,LEO,CCSFS SLC 40,False,1,False,False,,True,False
41,2014-09-07T00:00:00.000Z,2014,Falcon 9,17997.433475012003,VLEO,CCSFS SLC 40,False,1,False,False,,True,False
42,2014-09-09T00:00:00.000Z,2014,Falcon 9,,LEO,CCSFS SLC 40,False,1,False,False,,True,False
43,2014-09-26T00:00:00.000Z,2014,Falcon 9,5363.491039216042,GTO,VAFB SLC 4E,False,1,False,False,,True,False
44,2014-10-06T00:00:00.000Z,2014,Falcon 9,6292.276256883308,GTO,CCSFS SLC 40,False,1,False,False,,False,False
45,2014-11-06T00:00:00.000Z,2014,Falcon 9,4661.132325489543,LEO,CCSFS SLC 40,False,1,False,False,,True,False
46,2014-11-17T00:00:00.000Z,2014,Falcon 9,1323.4926409182804,ISS,CCSFS SLC 40,False,1,False,False,,True,False
47,2014-12-11T00:00:00.000Z,2014,Falcon 9,318.4572028830354,SSO,VAFB SLC 4E,False,1,False,False,,True,False
48,2014-12-21T00:00:00.000Z,2014,Falcon 9,848.892377933653,PO,VAFB SLC 4E,False,1,False,False,,True,False
49,2015-01-01T00:00:00.000Z,2015,Falcon 9,706.6824203475308,PO,KSC LC 39A,False,1,True,True,False,True,False
50,2015-01-04T00:00:00.000Z,2015,Falcon 9,3683.580322780298,GTO,KSC LC 39A,False,1,False,False,,True,False
51,2015-01-05T00:00:00.000Z,2015,Falcon 9,5152.204453165476,LEO,VAFB SLC 4E,False,1,True,True,True,True,False
52,2015-01-23T00:00:00.000Z,2015,Falcon 9,7363.380078710518,LEO,CCSFS SLC 40,False,1,True,True,False,True,False
53,2015-02-15T00:00:00.000Z,2015,Falcon 9,2352.6991061586996,ISS,VAFB SLC 4E,False,1,True,True,False,True,False
54,2015-02-15T00:00:00.000Z,2015,Falcon 9,14693.707600651229,LEO,KSC LC 39A,False,1,True,True,True,True,False
55,2015-02-26T00:00:00.000Z,2015,Falcon 9,5713.2537503913545,GTO,CCSFS SLC 40,False,1,False,False,,True,False
56,2015-03-19T00:00:00.000Z,2015,Falcon 9,5868.702726587311,MEO,VAFB SLC 4E,False,1,True,True,False,True,False
57,2015-04-04T00:00:00.000Z,2015,Falcon 9,5070.323240733062,GTO,VAFB SLC 4E,False,1,True,True,False,True,False
58,2015-04-07T00:00:00.000Z,2015,Falcon 9,5204.50835633842,GTO,CCSFS SLC 40,False,1,True,True,False,True,False
59,2015-04-16T00:00:00.000Z,2015,Falcon 9,2753.612974785311,ISS,VAFB SLC 4E,False,1,True,True,True,True,False
60,2015-04-18T00:00:00.000Z,2015,Falcon 9,4449.999347100211,MEO,KSC LC 39A,False,1,True,True,False,True,False
61,2015-04-28T00:00:00.000Z,2015,Falcon 9,1437.0855673301799,PO,KSC LC 39A,False,1,True,True,False,True,False
62,2015-05-03T00:00:00.000Z,2015,Falcon 9,15800.853672989499,LEO,VAFB SLC 4E,False,1,True,True,False,True,False
63,2015-06-03T00:00:00.000Z,2015,Falcon 9,12717.189693758643,LEO,KSC LC 39A,False,1,True,True,False,True,False
64,2015-06-24T00:00:00.000Z,2015,Falcon 9,1872.0473058394102,PO,CCSFS SLC 40,False,1,False,False,,True,False
65,2015-07-12T00:00:00.000Z,2015,Falcon 9,3246.4409142344393,LEO,VAFB SLC 4E,False,1,False,False,,False,False
66,2015-07-17T00:00:00.000Z,2015,Falcon 9,1109.6265959425536,SSO,CCSFS SLC 40,False,1,True,True,False,True,False
67,2015-07-26T00:00:00.000Z,2015,Falcon 9,2110.2377742431017,ISS,KSC LC 39A,False,1,True,True,False,True,False
68,2015-10-05T00:00:00.000Z,2015,Falcon 9,5123.732833916969,GTO,KSC LC 39A,False,1,True,True,True,True,False
69,2015-12-01T00:00:00.000Z,2015,Falcon 9,6354.7119125347235,GTO,KSC LC 39A,False,1,True,True,False,True,False
70,2015-12-21T00:00:00.000Z,2015,Falcon 9,8951.896427369838,LEO,KSC LC 39A,False,1,False,False,,True,False
71,2015-12-26T00:00:00.000Z,2015,Falcon 9,18923.624199519243,LEO,KSC LC 39A,False,1,True,True,True,True,False
72,2015-12-28T00:00:00.000Z,2015,Falcon 9,14109.998976367999,LEO,KSC LC 39A,False,1,True,True,False,True,False
73,2016-03-15T00:00:00.000Z,2016,Falcon 9,1781.1316671037216,PO,CCSFS SLC 40,False,1,True,True,True,True,False
74,2016-03-25T00:00:00.000Z,2016,Falcon 9,5448.72779126325,GTO,CCSFS SLC 40,False,1,True,True,True,True,False
75,2016-06-16T00:00:00.000Z,2016,Falcon 9,,GTO,VAFB SLC 4E,False,1,True,True,False,True,False
76,2016-06-20T00:00:00.000Z,2016,Falcon 9,2582.0644703900193,ISS,CCSFS SLC 40,False,1,True,True,False,True,False
77,2016-07-19T00:00:00.000Z,2016,Falcon 9,5628.336955713729,LEO,KSC LC 39A,False,1,True,True,False,True,False
78,2016-08-18T00:00:00.000Z,2016,Falcon 9,1918.1511974717769,PO,CCSFS SLC 40,False,1,True,True,False,True,False
79,2016-09-27T00:00:00.000Z,2016,Falcon 9,4345.137278728973,MEO,KSC LC 39A,False,1,True,True,True,True,False
80,2016-10-06T00:00:00.000Z,2016,Falcon 9,15854.052584611105,LEO,KSC LC 39A,False,1,True,True,False,True,False
81,2016-10-10T00:00:00.000Z,2016,Falcon 9,942.7005803579257,SSO,CCSFS SLC 40,False,1,True,True,False,True,False
82,2016-10-18T00:00:00.000Z,2016,Falcon 9,1911.3131558836935,PO,CCSFS SLC 40,False,1,True,True,False,True,False
83,2016-11-06T00:00:00.000Z,2016,Falcon 9,4691.403579921326,GTO,CCSFS SLC 40,False,1,True,True,False,True,False
84,2017-01-08T00:00:00.000Z,2017,Falcon 9,1897.1621633112682,LEO,KSC LC 39A,True,4,True,True,False,True,False
85,2017-01-10T00:00:00.000Z,2017,Falcon 9,1718.8392579018973,ISS,KSC LC 39A,False,1,True,True,True,True,False
86,2017-01-13T00:00:00.000Z,2017,Falcon 9,1228.829412087895,PO,CCSFS SLC 40,False,1,True,True,True,False,False
87,2017-01-25T00:00:00.000Z,2017,Falcon 9,16623.527894687602,VLEO,KSC LC 39A,False,1,True,True,False,True,False
88,2017-02-08T00:00:00.000Z,2017,Falcon 9,1570.4194506577876,PO,KSC LC 39A,False,1,True,True,False,True,False
89,2017-02-08T00:00:00.000Z,2017,Falcon 9,7483.499229491348,LEO,KSC LC 39A,False,1,True,True,True,True,False
90,2017-02-16T00:00:00.000Z,2017,Falcon 9,10502.799900789554,LEO,CCSFS SLC 40,False,1,True,True,False,True,False
91,2017-02-17T00:00:00.000Z,2017,Falcon 9,11109.781546400947,LEO,KSC LC 39A,False,1,True,True,True,True,False
92,2017-02-18T00:00:00.000Z,2017,Falcon 9,4992.647364191984,GTO,CCSFS SLC 40,True,5,True,True,False,True,False
93,2017-02-24T00:00:00.000Z,2017,Falcon 9,17480.981299751656,LEO,VAFB SLC 4E,False,1,True,True,True,True,False
94,2017-03-02T00:00:00.000Z,2017,Falcon 9,1969.9257432651225,SSO,KSC LC 39A,False,1,True,True,True,True,False
95,2017-03-10T00:00:00.000Z,2017,Falcon 9,50.0,LEO,KSC LC 39A,True,12,True,True,True,True,False
96,2017-03-11T00:00:00.000Z,2017,Falcon 9,,LEO,CCSFS SLC 40,False,1,True,True,False,True,False
97,2017-03-22T00:00:00.000Z,2017,Falcon 9,5805.065709317003,GTO,KSC LC 39A,False,1,True,True,True,True,False
98,2017-03-25T00:00:00.000Z,2017,Falcon 9,5572.074362160777,GTO,CCSFS SLC 40,False,1,True,True,False,True,False
99,2017-03-27T00:00:00.000Z,2017,Falcon 9,,PO,CCSFS SLC 40,True,2,True,True,False,True,False
100,2017-04-06T00:00:00.000Z,2017,Falcon 9,5837.597347378772,GTO,CCSFS SLC 40,False,1,True,True,True,False,False
101,2017-04-08T00:00:00.000Z,2017,Falcon 9,6134.662293373075,GTO,VAFB SLC 4E,False,1,True,True,False,True,False
102,2017-04-10T00:00:00.000Z,2017,Falcon 9,10889.688285346681,LEO,VAFB SLC 4E,False,1,True,True,False,True,False
103,2017-04-15T00:00:00.000Z,2017,Falcon 9,4961.3043387157,GTO,CCSFS SLC 40,False,1,True,True,False,True,False
104,2017-04-20T00:00:00.000Z,2017,Falcon 9,4042.2066710347585,LEO,VAFB SLC 4E,False,1,True,True,True,True,False
105,2017-04-25T00:00:00.000Z,2017,Falcon 9,2560.784233091958,ISS,KSC LC 39A,False,1,True,True,False,True,False
106,2017-05-02T00:00:00.000Z,2017,Falcon 9,10301.295482784673,LEO,VAFB SLC 4E,False,1,True,True,True,True,False
107,2017-05-08T00:00:00.000Z,2017,Falcon 9,6102.778687040725,GTO,CCSFS SLC 40,False,1,True,True,True,True,False
108,2017-05-16T00:00:00.000Z,2017,Falcon 9,1304.9453136124175,LEO,VAFB SLC 4E,False,1,True,True,True,True,False
109,2017-05-19T00:00:00.000Z,2017,Falcon 9,,GTO,KSC LC 39A,True,4,True,True,True,True,False
110,2017-05-20T00:00:00.000Z,2017,Falcon 9,4253.515190806828,GTO,CCSFS SLC 40,False,1,True,True,True,True,False
111,2017-06-01T00:00:00.000Z,2017,Falcon 9,2926.77681087619,ISS,VAFB SLC 4E,False,1,True,True,False,True,False
112,2017-06-10T00:00:00.000Z,2017,Falcon 9,,VLEO,CCSFS SLC 40,False,1,True,True,False,True,False
113,2017-06-13T00:00:00.000Z,2017,Falcon 9,5066.420817371872,GTO,KSC LC 39A,False,1,False,False,,True,False
114,2017-06-25T00:00:00.000Z,2017,Falcon 9,1338.6447656054233,SSO,CCSFS SLC 40,False,1,True,True,False,True,False
115,2017-07-10T00:00:00.000Z,2017,Falcon 9,5309.220132862471,MEO,KSC LC 39A,False,1,False,False,,True,False
116,2017-07-18T00:00:00.000Z,2017,Falcon 9,,SSO,KSC LC 39A,False,1,True,True,False,True,False
117,2017-07-24T00:00:00.000Z,2017,Falcon 9,2661.0153928111135,ISS,CCSFS SLC 40,False,1,True,True,True,True,False
118,2017-07-26T00:00:00.000Z,2017,Falcon 9,2427.3829505320145,ISS,KSC LC 39A,False,1,True,True,True,True,False
119,2017-07-26T00:00:00.000Z,2017,Falcon 9,12808.07930259934,LEO,CCSFS SLC 40,False,1,True,True,False,True,False
120,2017-08-02T00:00:00.000Z,2017,Falcon 9,17441.102009197028,VLEO,KSC LC 39A,False,1,True,True,True,True,False
121,2017-08-18T00:00:00.000Z,2017,Falcon 9,50.0,PO,CCSFS SLC 40,False,1,True,True,True,True,False
122,2017-09-07T00:00:00.000Z,2017,Falcon 9,4878.068635034504,LEO,VAFB SLC 4E,False,1,True,True,False,True,False
123,2017-09-18T00:00:00.000Z,2017,Falcon 9,3136.050126054378,LEO,CCSFS SLC 40,True,10,True,True,False,True,False
124,2017-10-06T00:00:00.000Z,2017,Falcon 9,6095.330555180933,GTO,VAFB SLC 4E,False,1,False,False,,True,False
125,2017-10-06T00:00:00.000Z,2017,Falcon 9,16577.782290791278,VLEO,KSC LC 39A,False,1,True,True,False,True,False
126,2017-10-08T00:00:00.000Z,2017,Falcon 9,12017.851173453299,LEO,KSC LC 39A,False,1,True,True,False,True,False
127,2017-10-19T00:00:00.000Z,2017,Falcon 9,,GTO,KSC LC 39A,False,1,True,True,True,True,False
128,2017-11-06T00:00:00.000Z,2017,Falcon 9,5223.592233103502,LEO,VAFB SLC 4E,False,1,True,True,True,True,False
129,2017-11-11T00:00:00.000Z,2017,Falcon 9,3035.4795579971214,LEO,CCSFS SLC 40,False,1,True,True,True,True,False
130,2017-11-11T00:00:00.000Z,2017,Falcon 9,,LEO,CCSFS SLC 40,False,1,True,True,True,True,False
131,2017-11-18T00:00:00.000Z,2017,Falcon 9,15832.718522917246,VLEO,CCSFS SLC 40,False,1,True,True,True,True,False
132,2017-11-19T00:00:00.000Z,2017,Falcon 9,2912.450944596436,LEO,CCSFS SLC 40,False,1,True,True,True,True,False
133,2017-11-21T00:00:00.000Z,2017,Falcon 9,6860.310535192874,LEO,KSC LC 39A,False,1,True,True,False,True,False
134,2017-11-22T00:00:00.000Z,2017,Falcon 9,6341.213856606697,GTO,VAFB SLC 4E,False,1,True,True,False,True,False
135,2017-12-04T00:00:00.000Z,2017,Falcon 9,7385.86829654741,LEO,CCSFS SLC 40,False,1,False,False,,False,False
136,2017-12-06T00:00:00.000Z,2017,Falcon 9,,MEO,CCSFS SLC 40,False,1,True,True,False,True,False
137,2017-12-09T00:00:00.000Z,2017,Falcon 9,12353.976871960109,LEO,VAFB SLC 4E,False,1,True,True,True,True,False
138,2017-12-11T00:00:00.000Z,2017,Falcon 9,3147.5893938592726,ISS,VAFB SLC 4E,False,1,True,True,False,True,False
139,2017-12-25T00:00:00.000Z,2017,Falcon 9,2600.0429679571635,SSO,CCSFS SLC 40,False,1,True,True,False,True,False
140,2018-01-02T00:00:00.000Z,2018,Falcon 9,1234.9849234962035,PO,CCSFS SLC 40,True,9,True,True,False,True,False
141,2018-01-04T00:00:00.000Z,2018,Falcon 9,9754.819748889864,LEO,VAFB SLC 4E,False,1,True,True,True,True,False
142,2018-01-07T00:00:00.000Z,2018,Falcon 9,3953.5538869437814,LEO,KSC LC 39A,False,1,True,True,True,True,False
143,2018-01-08T00:00:00.000Z,2018,Falcon 9,1148.5118358984703,PO,CCSFS SLC 40,False,1,True,True,False,True,False
144,2018-01-13T00:00:00.000Z,2018,Falcon 9,6978.84904906183,LEO,CCSFS SLC 40,False,1,True,True,True,True,False
145,2018-01-19T00:00:00.000Z,2018,Falcon 9,15660.908881073534,VLEO,CCSFS SLC 40,True,8,True,True,True,True,False
146,2018-01-23T00:00:00.000Z,2018,Falcon 9,1418.139726616432,SSO,CCSFS SLC 40,True,9,True,True,True,True,False
147,2018-02-01T00:00:00.000Z,2018,Falcon 9,3362.3454747071405,ISS,VAFB SLC 4E,True,6,True,True,False,False,False
148,2018-02-07T00:00:00.000Z,2018,Falcon 9,7341.426242717884,LEO,CCSFS SLC 40,False,1,True,True,False,True,False
149,2018-02-08T00:00:00.000Z,2018,Falcon 9,12842.781448780634,LEO,KSC LC 39A,False,1,True,True,True,True,False
150,2018-02-13T00:00:00.000Z,2018,Falcon 9,9124.461018470573,LEO,CCSFS SLC 40,False,1,True,True,False,True,False
151,2018-02-14T00:00:00.000Z,2018,Falcon 9,2519.389282712545,ISS,CCSFS SLC 40,False,1,True,True,True,True,False
152,2018-02-28T00:00:00.000Z,2018,Falcon 9,2268.622011086103,ISS,VAFB SLC 4E,True,12,True,True,False,True,False
153,2018-03-14T00:00:00.000Z,2018,Falcon 9,11304.531298123704,LEO,CCSFS SLC 40,False,1,True,True,True,True,False
154,2018-03-14T00:00:00.000Z,2018,Falcon Heavy,12763.48767263817,LEO,KSC LC 39A,False,1,True,True,False,True,False
155,2018-03-15T00:00:00.000Z,2018,Falcon 9,13789.65559079255,LEO,KSC LC 39A,False,1,False,False,,True,False
156,2018-03-17T00:00:00.000Z,2018,Falcon 9,2488.8285005725684,LEO,VAFB SLC 4E,True,11,True,True,True,True,False
157,2018-03-18T00:00:00.000Z,2018,Falcon 9,1123.3481423309102,SSO,CCSFS SLC 40,False,1,True,True,False,True,False
158,2018-03-18T00:00:00.000Z,2018,Falcon 9,4256.578743823829,GTO,CCSFS SLC 40,False,1,True,True,False,True,False
159,2018-03-19T00:00:00.000Z,2018,Falcon 9,2906.0610196536754,LEO,KSC LC 39A,False,1,True,True,True,True,False
160,2018-03-22T00:00:00.000Z,2018,Falcon Heavy,7568.523788453131,LEO,KSC LC 39A,False,1,True,True,True,True,False
161,2018-03-25T00:00:00.000Z,2018,Falcon 9,6251.150685199318,LEO,CCSFS SLC 40,False,1,True,True,False,True,False
162,2018-04-02T00:00:00.000Z,2018,Falcon 9,7395.029233157353,GTO,CCSFS SLC 40,False,1,False,False,,True,False
163,2018-04-04T00:00:00.000Z,2018,Falcon 9,5059.803809853188,MEO,KSC LC 39A,False,1,True,True,True,True,False
164,2018-04-04T00:00:00.000Z,2018,Falcon Heavy,3988.1174539758367,LEO,KSC LC 39A,True,9,True,True,True,True,False
165,2018-04-05T00:00:00.000Z,2018,Falcon 9,3566.0319082705723,ISS,CCSFS SLC 40,False,1,True,True,True,True,False
166,2018-04-07T00:00:00.000Z,2018,Falcon 9,365.44086990976484,LEO,KSC LC 39A,False,1,True,True,False,True,False
167,2018-04-07T00:00:00.000Z,2018,Falcon Heavy,6051.110428088606,GTO,KSC LC 39A,False,1,True,True,True,True,False
168,2018-04-14T00:00:00.000Z,2018,Falcon 9,6794.834934123308,GTO,VAFB SLC 4E,True,6,False,False,,True,False
169,2018-05-09T00:00:00.000Z,2018,Falcon 9,5129.0655593887295,GTO,CCSFS SLC 40,False,1,True,True,True,True,False
170,2018-05-11T00:00:00.000Z,2018,Falcon 9,5463.691852119388,GTO,KSC LC 39A,False,1,True,True,False,True,False
171,2018-05-13T00:00:00.000Z,2018,Falcon 9,12540.949116803025,LEO,CCSFS SLC 40,False,1,True,True,False,True,False
172,2018-05-14T00:00:00.000Z,2018,Falcon Heavy,,LEO,KSC LC 39A,True,9,True,True,True,True,False
173,2018-05-21T00:00:00.000Z,2018,Falcon 9,1111.0212221271568,SSO,KSC LC 39A,False,1,True,True,True,True,False
174,2018-05-21T00:00:00.000Z,2018,Falcon 9,5603.362168200463,LEO,CCSFS SLC 40,False,1,True,True,False,True,False
175,2018-05-27T00:00:00.000Z,2018,Falcon 9,8736.750147761082,LEO,CCSFS SLC 40,True,10,True,True,True,True,False
176,2018-06-01T00:00:00.000Z,2018,Falcon 9,,LEO,KSC LC 39A,False,1,True,True,False,True,False
177,2018-06-01T00:00:00.000Z,2018,Falcon 9,1222.236079704484,PO,CCSFS SLC 40,False,1,True,True,False,True,False
178,2018-06-06T00:00:00.000Z,2018,Falcon 9,4809.684405293712,LEO,KSC LC 39A,False,1,True,True,True,True,False
179,2018-06-06T00:00:00.000Z,2018,Falcon 9,6677.421946191919,GTO,KSC LC 39A,False,1,True,True,True,True,False
180,2018-06-09T00:00:00.000Z,2018,Falcon 9,4207.176636944583,ISS,KSC LC 39A,False,1,True,True,True,True,False
181,2018-06-26T00:00:00.000Z,2018,Falcon 9,4622.287319422629,GTO,VAFB SLC 4E,False,1,True,True,False,True,False
182,2018-07-02T00:00:00.000Z,2018,Falcon 9,5065.536300108991,GTO,KSC LC 39A,False,1,False,False,,True,False
183,2018-07-05T00:00:00.000Z,2018,Falcon 9,2359.040880227227,ISS,CCSFS SLC 40,False,1,False,False,,True,False
184,2018-07-11T00:00:00.000Z,2018,Falcon 9,6641.390535123879,LEO,CCSFS SLC 40,False,1,True,True,True,True,False
185,2018-07-14T00:00:00.000Z,2018,Falcon Heavy,5289.287016445379,GTO,KSC LC 39A,False,1,True,True,True,True,False
186,2018-07-17T00:00:00.000Z,2018,Falcon 9,3314.657729133164,LEO,KSC LC 39A,True,8,True,True,True,True,False
187,2018-07-18T00:00:00.000Z,2018,Falcon 9,12743.187182736518,LEO,VAFB SLC 4E,False,1,True,True,False,True,False
188,2018-07-23T00:00:00.000Z,2018,Falcon 9,2979.183556629184,ISS,VAFB SLC 4E,False,1,False,False,,True,False
189,2018-07-25T00:00:00.000Z,2018,Falcon 9,5553.183999722515,GTO,VAFB SLC 4E,False,1,True,True,True,True,False
190,2018-07-25T00:00:00.000Z,2018,Falcon 9,5013.334594132611,MEO,CCSFS SLC 40,False,1,False,False,,True,False
191,2018-07-28T00:00:00.000Z,2018,Falcon 9,2823.0403935180707,GTO,VAFB SLC 4E,False,1,True,True,True,True,False
192,2018-08-03T00:00:00.000Z,2018,Falcon 9,12134.809197865245,LEO,CCSFS SLC 40,False,1,True,True,True,True,False
193,2018-08-05T00:00:00.000Z,2018,Falcon 9,6253.729131615231,GTO,KSC LC 39A,False,1,True,True,False,True,False
194,2018-08-11T00:00:00.000Z,2018,Falcon 9,7821.069958573217,LEO,VAFB SLC 4E,False,1,True,True,True,True,False
195,2018-08-15T00:00:00.000Z,2018,Falcon 9,5152.795246071312,GTO,VAFB SLC 4E,False,1,False,False,,True,False
196,2018-08-24T00:00:00.000Z,2018,Falcon 9,5389.591400996752,GTO,VAFB SLC 4E,False,1,True,True,False,True,False
197,2018-08-25T00:00:00.000Z,2018,Falcon 9,12996.759375608584,LEO,KSC LC 39A,False,1,True,True,True,True,False
198,2018-09-01T00:00:00.000Z,2018,Falcon 9,8810.227121310683,LEO,CCSFS SLC 40,False,1,True,True,True,True,False
199,2018-09-08T00:00:00.000Z,2018,Falcon 9,1898.615340009641,ISS,CCSFS SLC 40,False,1,True,True,False,True,False
200,2018-09-12T00:00:00.000Z,2018,Falcon 9,5653.5867475750465,GTO,KSC LC 39A,False,1,True,True,True,True,False
201,2018-09-14T00:00:00.000Z,2018,Falcon 9,5154.824986100384,GTO,CCSFS SLC 40,True,12,True,True,False,True,False
202,2018-09-19T00:00:00.000Z,2018,Falcon 9,14881.910655352829,LEO,CCSFS SLC 40,False,1,True,True,True,True,False
203,2018-09-22T00:00:00.000Z,2018,Falcon 9,2504.4309844781956,ISS,KSC LC 39A,False,1,True,True,True,True,False
204,2018-10-01T00:00:00.000Z,2018,Falcon 9,5219.4268819859035,GTO,KSC LC 39A,False,1,True,True,True,True,False
205,2018-10-21T00:00:00.000Z,2018,Falcon 9,,LEO,VAFB SLC 4E,False,1,True,True,True,True,False
206,2018-10-22T00:00:00.000Z,2018,Falcon 9,4931.12275947198,GTO,CCSFS SLC 40,False,1,True,True,True,True,False
207,2018-10-23T00:00:00.000Z,2018,Falcon 9,12358.065893036182,VLEO,CCSFS SLC 40,False,1,True,True,True,True,False
208,2018-10-23T00:00:00.000Z,2018,Falcon 9,3864.5110181910404,ISS,KSC LC 39A,True,3,True,True,True,True,False
209,2018-10-23T00:00:00.000Z,2018,Falcon 9,489.3215312745954,PO,KSC LC 39A,False,1,True,True,False,False,False
210,2018-10-26T00:00:00.000Z,2018,Falcon 9,6624.306580348108,GTO,KSC LC 39A,False,1,True,True,True,True,False
211,2018-11-02T00:00:00.000Z,2018,Falcon Heavy,217.25081399732494,SSO,KSC LC 39A,False,1,True,True,False,True,False
212,2018-11-05T00:00:00.000Z,2018,Falcon Heavy,8211.74849406586,LEO,KSC LC 39A,False,1,True,True,True,True,False
213,2018-11-08T00:00:00.000Z,2018,Falcon 9,1011.0184160003874,PO,CCSFS SLC 40,False,1,True,True,True,True,False
214,2018-11-20T00:00:00.000Z,2018,Falcon Heavy,5697.495962757938,GTO,KSC LC 39A,True,3,True,True,True,True,False
